Titulo,Autor,Estilo,Entregue a,Dedicatória
501 Eventos que merecem ser conhecidos  ,Lafonte.,,,
501  Desastres mais devastadores de todos os tempos  ,Lafonte.,,,
Por dentro da Gestapo  ,Rupert Butler.,,,
Segunda guerra mundial  A resistência heróica que destruiu o sonho de Hitler dominar o mundo  .,Rupert Matthews,,,
Mengele o último nazista  ,Gerald Astor,,,x
A muralha da peste  ,André Brink.,,,
A história da primeira guerra mundial  A deflagração  19141918  ,David Stevenson.,,,
A história da primeira guerra mundial  A escalada  ,David Stevenson.,,,
A história da primeira guerra mundial  As consequências  .,David Stevenson,,,
A história da primeira guerra mundial  O legado  .,David Stevenson,,,
Segunda guerra mundial  Essencial Holocausto a.,Dimas da Cruz Oliveir,,,
Segunda guerra mundial  Grandes líderes  ,Dimas da Cruz Oliveira.,,,
Segunda guerra mundial  Grandes batalhas  ,Dimas da Cruz Oliveira.,,,
O quarteto de Alexandria   Justine.,Lawrence Durrel,,,
O quarteto de Alexandria   Balthazar.,Lawrence Durrel,,,
O quarteto de Alexandria   Mountolive.,Lawrence Durrel,,,
O quarteto de Alexandria   CLEA.,Lawrence Durrel,,,
Morte na Atlântida  O encontro do reino perdido uma aventura de Dirk Pitt  ,Clive Cussler.,,,
Fundação  ,Isaac Asimov.,,,
De Gaulle  O julgamento da história  pró e contra.,,,,
Fui Espião  ordenação de falsos padres na igreja do Brasil  ,Francesco Scalzotto.,,,
O homem que matou Getúlio Vargas  ,Jô Soares.,,,
Assassinatos na Academia brasileira de letras  ,Jô Soares.,,,
Israel em abril  ,Érico Veríssimo.,,,
Israel e seus vizinhos  ,Alexandre Lissovsky.,,,
Os arquivos de Anderson explosivas revelações sobre Watergate, ITT, FBI  ,Jack Anderson & George Clifford.,,,
E foi assim que a cobra fumou  ,Elza Cansanção,,,x
A filosofia de o símbolo perdido  Maçonaria, Bíblia, Física, Arte, Ciências de última geração e muito mais  ,Thomas R. Beyer.,,,
Memória da casa dos mortos  ,Fiódor Dostoiévski.,,,
Crime e castigo  Vol. I,Fiódor Dostoiévski.,,,
Crime e castigo  Vol. II Macbeth ??,Fiódor Dostoiévski.,,,
Os pensadores  ,Nicolau Maquiavel.,,,
O príncipe ,Nicolau Maquiavel.,,,
A arte da guerra  ,Nicolau Maquiavel.,,,
Política  ,Aristóteles.,,,
As Catilinárias  ,Cícero,,,x
Da República mestres pensadores.,Cícero,,,
Grandes mestres  Michelangelo.,,,,
Grandes mestres  Picasso.,,,,
A queda de Gondolin , J.R.R. Tolkien.,,,
Assassinatos de reputação  Um crime de Estado  .,Romeu Tuma Júnior,,,
Antologia escolar   Coleção marechal Trompowski  Vol. I e II*,Cel. Prof. Iguamir Antônio T. Marçal.,,,x
Livro das mil e uma noites  Ramo sírio Vol. I.,,,,
Livro das mil e uma noites  Ramo sírio  Vol. II.,,,,
Livro das mil e uma noites  Ramo egípcio  Vol. III.,,,,
Livro das mil e uma noites  Ramo egípcio mais Aladim & Ali Babá, traduzido do árabe por Mamede Mustafá Jarouche.,,,,
A sombra do vento  ,Carlos Ruiz Zafón,,,x
Os crimes do mosaico  Um Thriller de Giulio Leoni,Dante Alighieri,,,
A Farsa  ,Christopher Reich.,,,
A chave de Roseta  ,William Dietrich,,,x
O vôo da águia ,Ken Follett.,,,
Na toca do Leão ,Ken Follett.,,,
As crônicas de Nárnia  ,C.S.Lewis.,,,
Física divertida  ,Carlos Fiolhais.,,,
O Escaravelho do diabo  ,Lúcia Machado de Almeida.,,,
O Silmarillion  ,J.R.R. Tolkien.,,,
BelAmi  ,Guy de Maupassant.,,,
A velha senhora   dois assassinatos e um desafio para o comissário Jules Maigret.,Georges Simenon,,,
Conto de Natal  ,Charles Dickens.,,,
David Copperfield  ,Charles Dickens.,,,
Oliver Twist  ,Charles Dickens.,,,
As aventuras do senhor PickWick  ,Charles Dickens.,,,
As aventuras de Sherlock Holmes  Tomo II , Arthur Conan Doyle,Policial ,,
Morte na alta sociedade   2,Georges Simenon,Policial ,,
A morte no Nilo,Agatha Christie,Policial ,,
A morte nas nuvens,Agatha Christie,Policial ,,
A mansão Hollow 2,Agatha Christie,Policial ,,
A extravagância do morto,Agatha Christie,Policial ,,
A morte da Sra. Mcginty 2,Agatha Christie,Policial ,,
A terceira moça,Agatha Christie,Policial ,,
Assassinato no campo de golfe,Agatha Christie,Policial ,,
Aventura em Bagdá,Agatha Christie,Policial ,,
